127.0.0.1 - - [21/Jun/2023:12:12:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:12:49 +0530] "GET /Loginandreg/index.html HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:12:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:13:50 +0530] "GET /Loginandreg/index.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:21:41 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:23:57 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:23:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:24:19 +0530] "POST /Loginandreg/reg.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:55:30 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:55:30 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:56:00 +0530] "POST /Loginandreg/reg.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:56:59 +0530] "POST /Loginandreg/reg.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:57:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jun/2023:12:57:30 +0530] "POST /Loginandreg/reg.jsp HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:05:17 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:05:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:05:37 +0530] "POST /Loginandreg/reg.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:05:37 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:22:57 +0530] "GET /Loginandreg/index.html HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:23:20 +0530] "GET /Loginandreg/index.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:23:47 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:23:49 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:23:58 +0530] "GET /Loginandreg/index.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:24:30 +0530] "GET /Loginandreg/index.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:24:32 +0530] "GET /Loginandreg/login.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:26:55 +0530] "GET /Loginandreg/index.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:27:36 +0530] "POST /Loginandreg/reg.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:27:36 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:27:39 +0530] "GET /Loginandreg/login.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:27:55 +0530] "POST /Loginandreg/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:27:56 +0530] "GET /Loginandreg/welcome.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:29:40 +0530] "GET /Loginandreg/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:31:28 +0530] "POST /Loginandreg/reg.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:31:28 +0530] "GET /Loginandreg/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:32:21 +0530] "POST /Loginandreg/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2023:13:32:22 +0530] "GET /Loginandreg/welcome.jsp HTTP/1.1" 200 225
